method,mean_semantic_distance_at_k_mean,mean_semantic_distance_at_k_ci_low,mean_semantic_distance_at_k_ci_high,precision_at_k_mean,precision_at_k_ci_low,precision_at_k_ci_high,recall_at_k_mean,recall_at_k_ci_low,recall_at_k_ci_high,ndcg_at_k_mean,ndcg_at_k_ci_low,ndcg_at_k_ci_high
visual_only,4.525865745492394,4.425770376975465,4.626337928029001,0.041304347826086954,0.03206521739130435,0.051630434782608696,0.020652173913043477,0.016032608695652175,0.025815217391304348,0.5070011719931474,0.4982887048568589,0.5155418367252936
semantic_only_oracle,1.7200442466601382,1.6750255364967288,1.7664330254333491,1.0,1.0,1.0,0.5,0.5,0.5,0.9999999911299666,0.9999999909834771,0.9999999912757862
hybrid_semantic_weight_0.0,4.525865745492394,4.425770376975465,4.626337928029001,0.041304347826086954,0.03206521739130435,0.051630434782608696,0.020652173913043477,0.016032608695652175,0.025815217391304348,0.5070011719931474,0.4982887048568589,0.5155418367252936
hybrid_semantic_weight_0.25,2.141694605156814,2.0914931272721007,2.1967293054555586,0.6217391304347827,0.596195652173913,0.6461956521739131,0.31086956521739134,0.2980978260869565,0.32309782608695653,0.8738518093762934,0.8665193956355806,0.8808960273998498
hybrid_semantic_weight_0.5,1.9195729915519104,1.873289297159168,1.9682218327342387,0.8538043478260869,0.8336956521739131,0.8706521739130434,0.42690217391304347,0.41684782608695653,0.4353260869565217,0.9338661518761693,0.9288204362006109,0.938819646551218
hybrid_semantic_weight_0.75,1.790058310100312,1.7442704808372826,1.8370065473754293,0.9777173913043479,0.9695652173913042,0.9847826086956523,0.48885869565217394,0.4847826086956521,0.49239130434782613,0.9754853236991259,0.9727085840273131,0.9779857567680164
hybrid_semantic_weight_1.0,1.7200442466601382,1.6750255364967288,1.7664330254333491,1.0,1.0,1.0,0.5,0.5,0.5,0.9999999911299666,0.9999999909834771,0.9999999912757862
