method,embedding_path,case_id_path,semantic_features_path,semantic_case_id_path,num_cases,top_k,relevance_pool,mean_semantic_distance_at_k_mean,mean_semantic_distance_at_k_ci_low,mean_semantic_distance_at_k_ci_high,precision_at_k_mean,precision_at_k_ci_low,precision_at_k_ci_high,recall_at_k_mean,recall_at_k_ci_low,recall_at_k_ci_high,ndcg_at_k_mean,ndcg_at_k_ci_low,ndcg_at_k_ci_high
visual_only,data/embeddings/contrastive_embeddings.npy,data/embeddings/contrastive_case_ids.npy,data/embeddings/semantic_features.npy,data/embeddings/semantic_case_ids.npy,368,5,10,2.8001513529692987,2.6948397654079765,2.8974402222543585,0.4081521739130434,0.3820652173913044,0.4336956521739131,0.2040760869565217,0.1910326086956522,0.21684782608695655,0.753923870682725,0.7410196989758209,0.7657952857697293
semantic_only_oracle,data/embeddings/contrastive_embeddings.npy,data/embeddings/contrastive_case_ids.npy,data/embeddings/semantic_features.npy,data/embeddings/semantic_case_ids.npy,368,5,10,1.7200442466601382,1.6750255364967288,1.7664330254333491,1.0,1.0,1.0,0.5,0.5,0.5,0.9999999911299666,0.9999999909834771,0.9999999912757862
hybrid_semantic_weight_0.0,data/embeddings/contrastive_embeddings.npy,data/embeddings/contrastive_case_ids.npy,data/embeddings/semantic_features.npy,data/embeddings/semantic_case_ids.npy,368,5,10,2.8001513529692987,2.6948397654079765,2.8974402222543585,0.4081521739130434,0.3820652173913044,0.4336956521739131,0.2040760869565217,0.1910326086956522,0.21684782608695655,0.753923870682725,0.7410196989758209,0.7657952857697293
hybrid_semantic_weight_0.25,data/embeddings/contrastive_embeddings.npy,data/embeddings/contrastive_case_ids.npy,data/embeddings/semantic_features.npy,data/embeddings/semantic_case_ids.npy,368,5,10,1.973427878812292,1.909937142183067,2.033523304123819,0.7918478260869565,0.7690217391304348,0.8135869565217391,0.39592391304347824,0.3845108695652174,0.40679347826086953,0.9312359477327162,0.9251549037185438,0.9364348157878932
hybrid_semantic_weight_0.5,data/embeddings/contrastive_embeddings.npy,data/embeddings/contrastive_case_ids.npy,data/embeddings/semantic_features.npy,data/embeddings/semantic_case_ids.npy,368,5,10,1.807403602451082,1.7573863804019365,1.8566976008805696,0.9385869565217392,0.9266304347826086,0.9500000000000001,0.4692934782608696,0.4633152173913043,0.47500000000000003,0.9747080039332157,0.9718337537474963,0.9774912837015164
hybrid_semantic_weight_0.75,data/embeddings/contrastive_embeddings.npy,data/embeddings/contrastive_case_ids.npy,data/embeddings/semantic_features.npy,data/embeddings/semantic_case_ids.npy,368,5,10,1.739006455878372,1.6928935115112673,1.7864487949975545,0.9945652173913043,0.9896739130434782,0.9983695652173913,0.49728260869565216,0.4948369565217391,0.49918478260869564,0.9941685027470613,0.9933388704573903,0.9949543224015186
hybrid_semantic_weight_1.0,data/embeddings/contrastive_embeddings.npy,data/embeddings/contrastive_case_ids.npy,data/embeddings/semantic_features.npy,data/embeddings/semantic_case_ids.npy,368,5,10,1.7200442466601382,1.6750255364967288,1.7664330254333491,1.0,1.0,1.0,0.5,0.5,0.5,0.9999999911299666,0.9999999909834771,0.9999999912757862
