model,precision_at_5,recall_at_5,ndcg_at_5,mean_semantic_distance_at_5
Autoencoder visual-only,0.0413043478260869,0.0206521739130434,0.5070011719931474,4.525865745492394
Contrastive visual-only,0.4081521739130434,0.2040760869565217,0.753923870682725,2.8001513529692987
Autoencoder hybrid 0.75,0.977717391304348,0.4888586956521739,0.975485323699126,1.790058310100312
Contrastive hybrid 0.75,0.9945652173913044,0.4972826086956521,0.9941685027470611,1.739006455878372
Semantic-only oracle,1.0,0.5,0.9999999911299666,1.7200442466601382
